frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
5752.96,0.96,-2.87,0.97,-2.86,2.78,3.19,3.22,3.74,3.75,3.83
5810.49,0.79,-2.82,0.80,-2.80,2.71,3.14,3.23,3.50,3.52,3.61
5868.60,0.70,-2.68,0.67,-2.70,2.64,3.09,3.24,3.33,3.31,3.38
5927.28,0.61,-2.55,0.58,-2.57,2.56,3.04,3.26,3.17,3.14,3.15
5986.56,0.51,-2.42,0.51,-2.40,2.49,3.00,3.28,3.00,3.00,2.93
6046.42,0.39,-2.29,0.35,-2.32,2.43,2.96,3.31,2.82,2.78,2.68
6106.89,0.27,-2.15,0.10,-2.31,2.39,2.93,3.33,2.65,2.48,2.41
6167.96,-0.26,-2.41,-0.21,-2.36,2.37,2.89,3.37,2.10,2.16,2.15
6229.64,-0.52,-2.42,-0.54,-2.44,2.38,2.86,3.40,1.86,1.84,1.90
6291.93,-0.77,-2.43,-0.83,-2.51,2.43,2.83,3.44,1.66,1.60,1.66
6354.85,-1.02,-2.45,-1.05,-2.52,2.52,2.81,3.48,1.50,1.47,1.43
6418.40,-1.27,-2.48,-1.30,-2.57,2.64,2.79,3.53,1.37,1.34,1.21
6482.58,-1.56,-2.56,-1.58,-2.69,2.77,2.77,3.58,1.20,1.19,0.99
6547.41,-1.94,-2.74,-1.88,-2.85,2.90,2.75,3.63,0.96,1.02,0.80
6612.88,-2.36,-2.99,-2.18,-3.05,3.04,2.74,3.68,0.68,0.86,0.63
6679.01,-2.71,-3.18,-2.43,-3.22,3.18,2.73,3.74,0.46,0.75,0.47
6745.80,-3.07,-3.38,-2.61,-3.36,3.31,2.73,3.80,0.24,0.70,0.31
6813.26,-3.38,-3.51,-2.74,-3.46,3.42,2.72,3.85,0.04,0.68,0.13
6881.39,-3.72,-3.67,-2.83,-3.54,3.51,2.72,3.91,-0.21,0.68,-0.05
6950.21,-4.09,-3.86,-2.86,-3.58,3.56,2.73,3.97,-0.54,0.70,-0.23
7019.71,-4.34,-3.92,-2.85,-3.59,3.57,2.74,4.03,-0.77,0.73,-0.42
7089.91,-4.60,-3.97,-2.80,-3.57,3.57,2.75,4.09,-1.04,0.77,-0.63
7160.81,-4.86,-3.98,-2.73,-3.54,3.54,2.76,4.15,-1.32,0.81,-0.88
7232.41,-5.10,-3.94,-2.67,-3.50,3.51,2.78,4.20,-1.59,0.84,-1.16
7304.74,-5.29,-3.85,-2.61,-3.46,3.48,2.80,4.26,-1.82,0.87,-1.45
7377.79,-5.49,-3.73,-2.56,-3.43,3.44,2.83,4.30,-2.05,0.89,-1.76
7451.56,-5.68,-3.60,-2.52,-3.41,3.42,2.86,4.35,-2.26,0.90,-2.08
7526.08,-5.87,-3.47,-2.51,-3.40,3.40,2.89,4.38,-2.47,0.90,-2.40
7601.34,-6.03,-3.33,-2.50,-3.39,3.40,2.93,4.42,-2.63,0.90,-2.70
7677.35,-6.18,-3.22,-2.52,-3.40,3.41,2.97,4.44,-2.77,0.89,-2.96
7754.13,-6.26,-3.06,-2.55,-3.42,3.42,3.02,4.46,-2.84,0.87,-3.20
7831.67,-6.34,-2.95,-2.60,-3.45,3.45,3.07,4.46,-2.90,0.85,-3.40
7909.98,-6.43,-2.90,-2.67,-3.49,3.48,3.12,4.46,-2.94,0.82,-3.53
7989.08,-6.51,-2.88,-2.74,-3.53,3.53,3.18,4.44,-2.98,0.79,-3.63
8068.98,-6.53,-2.85,-2.83,-3.58,3.58,3.25,4.42,-2.95,0.75,-3.68
8149.67,-6.54,-2.86,-2.93,-3.64,3.64,3.31,4.39,-2.90,0.71,-3.69
8231.16,-6.56,-2.94,-3.04,-3.71,3.71,3.38,4.35,-2.85,0.67,-3.62
8313.47,-6.57,-3.06,-3.17,-3.79,3.79,3.46,4.29,-2.78,0.62,-3.51
8396.61,-6.59,-3.26,-3.32,-3.88,3.88,3.54,4.23,-2.70,0.56,-3.33
8480.57,-6.53,-3.43,-3.47,-3.98,3.99,3.62,4.16,-2.54,0.51,-3.10
8565.38,-6.45,-3.62,-3.64,-4.09,4.10,3.70,4.08,-2.35,0.47,-2.84
8651.03,-6.38,-3.87,-3.82,-4.22,4.23,3.79,3.99,-2.15,0.41,-2.51
8737.54,-6.30,-4.16,-4.02,-4.36,4.37,3.87,3.90,-1.93,0.35,-2.14
8824.92,-6.15,-4.42,-4.23,-4.51,4.52,3.96,3.80,-1.63,0.29,-1.73
8913.17,-5.99,-4.68,-4.45,-4.66,4.67,4.05,3.70,-1.32,0.22,-1.31
9002.30,-5.78,-4.91,-4.68,-4.82,4.82,4.13,3.59,-0.96,0.14,-0.87
9092.32,-5.56,-5.11,-4.90,-4.97,4.97,4.21,3.48,-0.59,0.07,-0.45
9183.25,-5.31,-5.27,-5.11,-5.11,5.10,4.29,3.36,-0.20,-0.01,-0.04
9275.08,-5.01,-5.39,-5.32,-5.24,5.22,4.36,3.24,0.21,-0.09,0.38
9367.83,-4.62,-5.42,-5.48,-5.34,5.32,4.42,3.13,0.71,-0.16,0.80
9461.51,-4.18,-5.39,-5.64,-5.42,5.41,4.48,3.01,1.22,-0.23,1.21
9556.12,-3.78,-5.38,-5.78,-5.48,5.47,4.52,2.89,1.69,-0.31,1.60
9651.68,-3.38,-5.32,-5.89,-5.51,5.52,4.55,2.77,2.13,-0.38,1.94
9748.20,-2.71,-4.97,-5.99,-5.53,5.54,4.56,2.65,2.83,-0.45,2.26
9845.68,-1.69,-4.23,-6.09,-5.53,5.55,4.56,2.54,3.85,-0.54,2.54
9944.14,-0.80,-3.61,-6.18,-5.54,5.53,4.53,2.43,4.73,-0.65,2.81
10043.58,0.05,-3.01,-6.28,-5.54,5.51,4.49,2.31,5.56,-0.77,3.06
10144.02,0.88,-2.42,-6.38,-5.48,5.46,4.43,2.20,6.34,-0.91,3.30
10245.46,1.63,-1.91,-6.48,-5.41,5.41,4.35,2.10,7.04,-1.07,3.53
10347.91,2.03,-1.71,-6.58,-5.34,5.35,4.25,1.99,7.38,-1.23,3.74
10451.39,2.44,-1.49,-6.67,-5.26,5.27,4.13,1.89,7.71,-1.40,3.93
10555.91,2.80,-1.30,-6.77,-5.18,5.19,3.99,1.79,7.98,-1.58,4.09
10661.46,2.58,-1.64,-6.87,-5.10,5.10,3.85,1.69,7.68,-1.77,4.22
10768.08,2.37,-1.92,-6.96,-5.01,5.01,3.68,1.60,7.38,-1.96,4.29
10875.76,2.16,-2.13,-7.06,-4.91,4.91,3.51,1.51,7.07,-2.15,4.29
10984.52,1.94,-2.27,-7.15,-4.81,4.81,3.33,1.42,6.76,-2.34,4.21
11094.36,0.67,-3.38,-7.25,-4.71,4.71,3.14,1.33,5.39,-2.53,4.05
11205.31,-0.31,-4.11,-7.34,-4.60,4.60,2.94,1.24,4.29,-2.73,3.79
11317.36,-1.29,-4.73,-7.43,-4.49,4.49,2.75,1.16,3.21,-2.94,3.44
11430.53,-2.57,-5.58,-7.52,-4.38,4.38,2.55,1.08,1.81,-3.15,3.01
11544.84,-3.57,-6.06,-7.61,-4.26,4.26,2.35,1.00,0.69,-3.36,2.49
11660.29,-4.67,-6.56,-7.70,-4.13,4.13,2.15,0.92,-0.54,-3.57,1.89
11776.89,-5.72,-6.93,-7.79,-4.00,4.00,1.95,0.84,-1.72,-3.79,1.20
11894.66,-6.61,-7.07,-7.88,-3.87,3.87,1.76,0.76,-2.74,-4.01,0.46
12013.60,-7.37,-7.02,-7.97,-3.73,3.73,1.57,0.69,-3.64,-4.24,-0.35
12133.74,-8.22,-7.03,-8.06,-3.59,3.59,1.39,0.62,-4.63,-4.47,-1.19
12255.08,-9.09,-7.04,-8.14,-3.44,3.44,1.21,0.54,-5.65,-4.70,-2.05
12377.63,-9.83,-6.91,-8.23,-3.29,3.29,1.04,0.47,-6.54,-4.94,-2.92
12501.41,-10.31,-6.54,-8.32,-3.13,3.13,0.87,0.40,-7.18,-5.18,-3.78
12626.42,-10.84,-6.21,-8.40,-2.97,2.97,0.72,0.32,-7.87,-5.43,-4.64
12752.68,-11.66,-6.22,-8.48,-2.81,2.81,0.56,0.25,-8.85,-5.67,-5.44
12880.21,-12.11,-5.92,-8.57,-2.64,2.64,0.42,0.17,-9.47,-5.93,-6.19
13009.01,-12.60,-5.73,-8.65,-2.47,2.47,0.27,0.10,-10.13,-6.18,-6.87
13139.10,-13.19,-5.70,-8.73,-2.29,2.29,0.14,0.02,-10.90,-6.44,-7.49
13270.49,-13.66,-5.65,-8.81,-2.11,2.11,0.01,-0.06,-11.55,-6.70,-8.01
13403.20,-14.07,-5.64,-8.89,-1.92,1.92,-0.11,-0.14,-12.14,-6.97,-8.43
13537.23,-14.40,-5.63,-8.97,-1.73,1.73,-0.23,-0.22,-12.67,-7.24,-8.77
13672.60,-14.73,-5.69,-9.05,-1.53,1.53,-0.34,-0.31,-13.20,-7.52,-9.04
13809.33,-15.00,-5.78,-9.13,-1.33,1.33,-0.44,-0.40,-13.67,-7.79,-9.23
13947.42,-15.28,-5.93,-9.21,-1.13,1.13,-0.54,-0.49,-14.14,-8.08,-9.35
14086.90,-15.45,-6.01,-9.28,-0.92,0.92,-0.64,-0.59,-14.53,-8.36,-9.44
14227.77,-15.53,-6.03,-9.36,-0.71,0.71,-0.73,-0.69,-14.82,-8.65,-9.50
14370.04,-15.60,-6.05,-9.44,-0.49,0.49,-0.82,-0.79,-15.11,-8.94,-9.56
14513.74,-15.68,-6.04,-9.51,-0.27,0.27,-0.90,-0.90,-15.41,-9.24,-9.64
14658.88,-15.75,-5.98,-9.58,-0.04,0.04,-0.98,-1.01,-15.71,-9.54,-9.78
14805.47,-15.83,-5.88,-9.66,0.19,-0.19,-1.05,-1.13,-16.02,-9.85,-9.95
14953.52,-15.90,-5.74,-9.73,0.42,-0.42,-1.12,-1.24,-16.33,-10.15,-10.17
15103.06,-15.97,-5.49,-9.80,0.66,-0.66,-1.18,-1.36,-16.63,-10.47,-10.48
15254.09,-15.78,-4.95,-9.87,0.91,-0.91,-1.25,-1.47,-16.69,-10.78,-10.83
15406.63,-15.58,-4.38,-9.94,1.16,-1.16,-1.31,-1.57,-16.74,-11.10,-11.21
15560.70,-15.39,-3.78,-10.01,1.41,-1.41,-1.36,-1.66,-16.80,-11.42,-11.61
15716.30,-15.20,-3.18,-10.08,1.67,-1.67,-1.41,-1.73,-16.86,-11.75,-12.02
15873.47,-15.00,-2.58,-10.15,1.93,-1.93,-1.46,-1.79,-16.93,-12.08,-12.42
16032.20,-14.67,-1.82,-10.22,2.19,-2.19,-1.51,-1.81,-16.86,-12.41,-12.85
16192.52,-14.22,-0.85,-10.29,2.47,-2.47,-1.56,-1.81,-16.69,-12.75,-13.37
16354.45,-13.46,0.40,-10.35,2.74,-2.74,-1.60,-1.76,-16.20,-13.09,-13.86
16517.99,-12.60,1.73,-10.42,3.02,-3.02,-1.64,-1.70,-15.62,-13.44,-14.33
16683.17,-11.18,3.59,-10.48,3.30,-3.30,-1.68,-1.61,-14.49,-13.79,-14.78
16850.01,-10.73,4.46,-10.55,3.59,-3.59,-1.71,-1.50,-14.32,-14.14,-15.19
17018.51,-9.62,5.96,-10.61,3.89,-3.89,-1.74,-1.38,-13.50,-14.49,-15.58
17188.69,-8.16,7.84,-10.67,4.18,-4.18,-1.78,-1.25,-12.34,-14.85,-16.00
17360.58,-6.38,9.99,-10.73,4.48,-4.48,-1.80,-1.12,-10.87,-15.22,-16.38
17534.18,-5.07,11.66,-10.80,4.79,-4.79,-1.83,-0.99,-9.86,-15.59,-16.73
17709.53,-3.88,13.17,-10.86,5.10,-5.10,-1.86,-0.87,-8.98,-15.96,-17.05
17886.62,-3.08,14.27,-10.92,5.42,-5.42,-1.88,-0.76,-8.50,-16.33,-17.36
18065.49,-2.94,14.79,-10.98,5.73,-5.73,-1.91,-0.66,-8.67,-16.71,-17.73
18246.14,-3.31,14.84,-11.03,6.06,-6.06,-1.93,-0.56,-9.37,-17.09,-18.16
18428.60,-3.70,14.87,-11.09,6.39,-6.39,-1.95,-0.48,-10.09,-17.48,-18.57
18612.89,-6.52,12.44,-11.15,6.72,-6.72,-1.97,-0.41,-13.23,-17.87,-18.96
18799.02,-7.72,11.63,-11.21,7.06,-7.06,-1.98,-0.35,-14.78,-18.26,-19.35
18987.01,-9.13,10.57,-11.26,7.40,-7.40,-2.00,-0.29,-16.53,-18.66,-19.70
19176.88,-11.14,8.99,-11.32,7.74,-7.74,-2.01,-0.24,-18.88,-19.06,-20.13
19368.65,-12.23,8.32,-11.37,8.09,-8.09,-2.03,-0.20,-20.33,-19.46,-20.55
19562.33,-12.47,8.48,-11.42,8.45,-8.45,-2.04,-0.17,-20.91,-19.87,-20.95
19757.96,-12.70,8.62,-11.48,8.81,-8.81,-2.05,-0.13,-21.51,-20.28,-21.32
19955.54,-11.88,9.81,-11.53,9.17,-9.17,-2.07,-0.10,-21.05,-20.70,-21.69
